time_s,node_BUS2 A_voltage,node_BUS1 A_voltage,node_BUS2 B_voltage,node_BUS1 B_voltage,node_BUS2 C_voltage,node_BUS1 C_voltage,node_BUSC A_voltage,node_BUSC B_voltage,node_BUSC C_voltage,node_BUS0 A_voltage,node_BUS0 B_voltage,node_BUS0 C_voltage,node_GEN1 A_voltage,node_GEN1 B_voltage,node_GEN1 C_voltage,node_GEN2 A_voltage,node_GEN2 B_voltage,node_GEN2 C_voltage,node_GEN3 A_voltage,node_GEN3 B_voltage,node_GEN3 C_voltage,node_WNDG1_saturated_transformer_internal_top_voltage,node_WNDG2_saturated_transformer_internal_top_voltage,node_WNDG3_saturated_transformer_internal_top_voltage,node_WNDG4_saturated_transformer_internal_top_voltage,node_WNDG5_saturated_transformer_internal_top_voltage,node_WNDG6_saturated_transformer_internal_top_voltage,node_WNDG7_saturated_transformer_internal_top_voltage,node_WNDG8_saturated_transformer_internal_top_voltage,node_WNDG9_saturated_transformer_internal_top_voltage,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase3_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase3_history_i_pu,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,output_fixed_7,output_fixed_8,output_fixed_9,output_fixed_10,output_fixed_11,output_fixed_12,branch_voltage_branch_fixed_1,branch_voltage_branch_fixed_2,branch_voltage_branch_fixed_3,FCTRL1,TORQIN,MACHV,FCTR2,TQ2,MACH2V,synchronous_machine_1_d_axis_current,synchronous_machine_1_q_axis_current,synchronous_machine_1_zero_sequence_current,synchronous_machine_1_field_current,synchronous_machine_1_d_axis_damper_current,synchronous_machine_1_generator_field_current,synchronous_machine_1_q_axis_damper_current,synchronous_machine_1_phase_a_current,synchronous_machine_1_phase_b_current,synchronous_machine_1_phase_c_current,synchronous_machine_1_electromagnetic_torque,synchronous_machine_1_mechanical_angle_2,synchronous_machine_1_mechanical_speed_2,synchronous_machine_1_shaft_torque_1,synchronous_machine_1_shaft_torque_2,synchronous_machine_1_shaft_torque_3,synchronous_machine_2_d_axis_current,synchronous_machine_2_q_axis_current,synchronous_machine_2_zero_sequence_current,synchronous_machine_2_field_current,synchronous_machine_2_d_axis_damper_current,synchronous_machine_2_generator_field_current,synchronous_machine_2_q_axis_damper_current,synchronous_machine_2_phase_a_current,synchronous_machine_2_phase_b_current,synchronous_machine_2_phase_c_current,synchronous_machine_2_electromagnetic_torque,synchronous_machine_2_mechanical_angle_2,synchronous_machine_2_mechanical_speed_2,synchronous_machine_2_shaft_torque_1,synchronous_machine_2_shaft_torque_2,synchronous_machine_2_shaft_torque_3,synchronous_machine_3_d_axis_current,synchronous_machine_3_q_axis_current,synchronous_machine_3_zero_sequence_current,synchronous_machine_3_field_current,synchronous_machine_3_d_axis_damper_current,synchronous_machine_3_generator_field_current,synchronous_machine_3_q_axis_damper_current,synchronous_machine_3_phase_a_current,synchronous_machine_3_phase_b_current,synchronous_machine_3_phase_c_current,synchronous_machine_3_electromagnetic_torque,synchronous_machine_3_mechanical_angle_2,synchronous_machine_3_mechanical_speed_2,synchronous_machine_3_shaft_torque_1,synchronous_machine_3_shaft_torque_2
0,408241.029495,408241.029495,-204120.514748,-204120.514748,-204120.514748,-204120.514748,408241.029495,-204120.514748,-204120.514748,408248.29,-204124.145,-204124.145,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,-3.83977294405e-11,15556.3492031,-15556.3492031,-3.83977294405e-11,15556.3492031,-15556.3492031,-3.8369307731e-11,-1.391267173e-12,4.04719108948e-11,4.07627979123e-11,-2.655293432e-12,3.61757631403e-11,3.60792199709e-11,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,1.09991191798e-12,408241.029495,-204120.514748,-204120.514748,-5.82076609135e-11,2.91038304567e-11,2.91038304567e-11,1.05,0.5,0,0.95,0.75,0,82.9380461376,0.0011404426195,9.55015306885e-13,1960.1150313,-1.45519152284e-11,-8.39038306064e-12,-4.64155058789e-11,33.8593155536,33.8593155529,-67.7186311066,6.6234352826e-08,60.0007878474,-2.26634710998e-10,-0.000663405593963,-0.000663455002329,-0.000331744520934,82.9380461376,0.0011404426195,9.55015306885e-13,1960.1150313,-1.45519152284e-11,-8.39038306064e-12,-4.64155058789e-11,33.8593155536,33.8593155529,-67.7186311066,6.6234352826e-08,60.0007878474,0,0,-6.62343349475e-08,-3.31144754985e-08,47.8843032657,0.000486058516993,-3.11971421454e-13,7744.05880719,-1.27329258248e-11,-6.22807130507e-12,-3.71152429401e-11,2.32830643654e-10,33.8593155532,-33.8593155534,4.90624908229e-08,90.0005815911,-5.68434188608e-14,0,-4.90624552177e-08
0.0002,300114.814522,1.15911702243e-07,-130426.198025,-5.01972030329e-08,-169688.616496,-6.57144992149e-08,0.620110431318,-0.269492347412,-0.350618083905,1.49315491602e-12,-8.25500306198e-13,-6.67654605617e-13,13904.2726576,-12742.3618345,-1161.91082313,13904.3537595,-12742.2563097,-1162.09744979,14190.4245952,-13004.4876285,-1185.93696668,12017.0909862,-11922.1398448,-94.9511414021,12017.1842993,-11922.180394,-95.0039053599,12029.1072264,-12065.2171895,36.1099630778,-121.646718622,52.8661640294,68.780554593,-112.355415146,48.8282780988,63.5271370473,13904.2726576,-12742.3618345,-1161.91082313,13904.3537595,-12742.2563097,-1162.09744979,14190.4245952,-13004.4876285,-1185.93696668,300114.814522,-130426.198025,-169688.616496,0.620110315406,-0.269492297214,-0.35061801819,1.05,0.5,-0.000331779327465,0.95,0.75,-3.34998143283e-08,82.9173765414,731.527292223,4.40657169381e-13,1960.13106448,-0.0126663130868,-11.4623163508,-63.4094065906,567.635160003,-455.125720923,-112.50943908,0.0426599917203,60.0007845562,-0.000574407522208,-0.000663097789237,-0.000671019496972,-0.000331779327465,83.0295340646,731.52729223,-1.40026957292e-15,1960.09508419,0.00916355457775,-11.4623163509,-63.4094065911,567.674842933,-455.07408789,-112.600755043,0.0426599346774,60.0007845563,-0.000574404712381,3.41662043022e-07,-7.6979945905e-06,-3.34998143283e-08,47.9119791016,532.183466074,-3.07920478192e-13,7744.05722916,-0.0022902974124,-10.586528036,-63.0888024471,430.343938435,-153.039283448,-277.304654987,0.0537610800471,90.000577937,-0.000637768625609,5.18905442167e-06,-3.50820945187e-06
0.0004,252982.578778,3.32299058989e-07,-89061.4466085,-1.36165008733e-07,-163921.13217,-1.96134050258e-07,2.99885028429,-1.26011674761,-1.73873353668,6.69345351951e-13,-3.70051879185e-13,-2.99293470881e-13,12176.1797766,-9969.14330336,-2207.0364732,12176.2696508,-9968.95016984,-2207.31948097,12879.6329226,-10604.9186245,-2274.71429809,10743.6137163,-9481.84258157,-1261.77113473,10743.7552197,-9481.88751776,-1261.86770197,10777.4569543,-9833.5709551,-943.885999234,-223.360418472,88.6056372872,134.754781185,-206.283901981,81.8308725771,124.453029404,12176.1797766,-9969.14330336,-2207.0364732,12176.2696508,-9968.95016984,-2207.31948097,12879.6329226,-10604.9186245,-2274.71429809,252982.578778,-89061.4466085,-163921.13217,2.99884995199,-1.26011661145,-1.73873334055,1.05,0.5,-0.00033185241721,0.95,0.75,-3.78127443496e-08,-63.4041797593,2886.64438598,3.94509430681e-13,1968.24729619,7.19753242834,-45.3221023527,-250.078713095,2176.19469544,-1873.27276521,-302.921930228,0.168364253573,60.0007616965,-0.00341537314415,-0.000660864262168,-0.00072389157794,-0.00033185241721,-63.098959259,2886.64453044,2.27510090717e-13,1968.14178402,7.26390685901,-45.3221046162,-250.078725617,2176.28557161,-1873.11724079,-303.168330822,0.168363595221,60.0007616966,-0.00341535385326,2.71341815946e-06,-6.0704352659e-05,-3.78127443496e-08,-63.374787998,2064.05309673,-1.45388132162e-13,7750.40259467,9.20719125689,-41.1236540826,-244.454398699,1673.93862496,-662.003930704,-1011.93469426,0.208504950751,90.0005528048,-0.00374862649045,4.08739191798e-05,-2.72956980692e-05
0.0006,296352.980553,5.45276177607e-07,-92115.724868,-2.06305736964e-07,-204237.255685,-3.38970440644e-07,7.63892794072,-3.07171690676,-4.56721103397,3.00051408732e-13,-1.65885339664e-13,-1.34166068223e-13,14777.7760029,-11455.1122531,-3322.66374977,14777.7641928,-11454.9735772,-3322.79061561,15124.4863266,-11755.7881118,-3368.69821472,12954.0777163,-10899.0211322,-2055.05658409,12954.1411491,-10899.0152304,-2055.12591872,12977.0869401,-11072.372747,-1904.71419313,-341.960684376,125.339636263,216.621048112,-315.794657161,115.746864609,200.047792552,14777.7760029,-11455.1122531,-3322.66374977,14777.7641928,-11454.9735772,-3322.79061561,15124.4863266,-11755.7881118,-3368.69821472,296352.980553,-92115.724868,-204237.255685,7.63892739545,-3.07171670045,-4.567210695,1.05,0.5,-0.000331978521407,0.95,0.75,-6.09154894364e-08,-386.772520012,4988.28503283,-1.54974750873e-12,1986.1793325,23.1309639294,-78.6121597576,-431.705455495,3801.5956857,-3195.86268963,-605.732996067,0.291042478791,60.0006871342,-0.00959820575406,-0.000653424430836,-0.000896565496615,-0.000331978521407,-386.260377878,4988.28881901,3.78813574435e-14,1986.0037494,23.2409560934,-78.6122191014,-431.705783657,3801.72117436,-3195.57997569,-606.141198665,0.291040776206,60.0006871348,-0.00959813756748,1.044150956e-05,-0.000233578862167,-6.09154894364e-08,-313.611451739,3540.90609384,1.85031416652e-13,7764.6951326,29.8707866328,-70.7507307174,-418.62746131,2874.91524784,-1092.0147309,-1782.90051694,0.357832844639,90.0004713708,-0.0104642850824,0.000156478357436,-0.000104352462011
0.0008,288545.354149,7.70497093536e-07,-74939.338959,-2.70327372326e-07,-213606.01519,-5.00169721211e-07,14.5902970675,-5.59023352553,-9.00006354198,1.34505850512e-13,-7.43624068884e-14,-6.01434432447e-14,14853.8385939,-10751.1883126,-4102.65028129,14853.8510195,-10750.9731205,-4102.87789902,15071.9705251,-10899.2729492,-4172.69757591,13046.5322983,-10282.5246551,-2764.00764324,13046.6461077,-10282.5308717,-2764.11523599,13081.5422901,-10391.5844713,-2689.95781882,-456.588284247,154.861210994,301.727073253,-421.618714879,142.995775411,278.622939468,14853.8385939,-10751.1883126,-4102.65028129,14853.8510195,-10750.9731205,-4102.87789902,15071.9705251,-10899.2729492,-4172.69757591,288545.354149,-74939.338959,-213606.01519,14.590296297,-5.59023325521,-9.00006304182,1.05,0.5,-0.000332197488246,0.95,0.75,-1.42852329757e-07,-726.914925917,6388.37667909,-1.59764257914e-12,2005.10669857,39.8195639704,-101.170079227,-552.125517613,4957.40406246,-3974.69323204,-982.710830422,0.372869008085,60.0005259858,-0.0185274884116,-0.000637210088986,-0.0012698629298,-0.000332197488246,-726.186054926,6388.38031067,-2.68720995509e-12,2004.86072526,39.9724518997,-101.17013662,-552.125831658,4957.53798689,-3974.25801763,-983.279969265,0.372865759218,60.0005259878,-0.0185273200875,2.7115733428e-05,-0.000607141965144,-1.42852329757e-07,-588.802863038,4567.49004503,5.08085848332e-13,7780.46549216,52.4994361283,-91.5974253514,-538.778810777,3703.81515008,-1290.08726388,-2413.7278862,0.462015136512,90.0002957885,-0.0201806131576,0.000405656943821,-0.000270426090297
0.001,239544.662372,9.71852152454e-07,-32853.7094712,-3.1067440251e-07,-206690.952901,-6.61177749944e-07,23.7929380363,-8.65910316651,-15.1338348698,6.02957677512e-14,-3.33348804011e-14,-2.69608871803e-14,12970.8694156,-7853.83450051,-5117.03491505,12970.833897,-7853.60255356,-5117.23134341,13799.448067,-8522.41273124,-5277.03533577,11686.4857717,-7737.32378467,-3949.16198706,11686.5839874,-7737.30603208,-3949.27795528,11766.4765942,-8151.60896831,-3614.86762587,-550.573334799,167.122934763,383.450400037,-508.359178922,154.298324177,354.060854745,12970.8694156,-7853.83450051,-5117.03491505,12970.833897,-7853.60255356,-5117.23134341,13799.448067,-8522.41273124,-5277.03533577,239544.662372,-32853.7094712,-206690.952901,23.7929370644,-8.65910285583,-15.1338342086,1.05,0.5,-0.000332590235305,0.95,0.75,-3.64801397644e-07,-1322.32168625,8453.61601674,4.73683726795e-12,2038.21331861,69.0558540041,-134.322232843,-729.939504913,6670.59093129,-5133.48668761,-1537.10424368,0.493731843065,60.0002469576,-0.0301721150472,-0.000609070938878,-0.00191619994642,-0.000332590235305,-1321.40298327,8453.61570393,-4.23359630854e-12,2037.8986611,69.2527346701,-134.322228882,-729.93947637,6670.70025466,-5132.89866391,-1537.80159075,0.493725936327,60.0002469626,-0.0301717668547,5.59166748511e-05,-0.001253807827,-3.64801397644e-07,-1048.28553135,6034.91320838,5.06810507984e-13,7806.80393272,90.2694544638,-121.334897683,-710.746854684,4896.54589362,-1566.55942887,-3329.98646475,0.611082398415,89.9999917261,-0.0328882765379,0.000836969777873,-0.000557845184752
0.0012,278398.666204,1.1678085049e-06,-29429.527482,-3.32916887592e-07,-248969.138721,-8.34891617313e-07,35.0927829216,-12.0579913536,-23.034791568,2.70291778105e-14,-1.49432268507e-14,-1.20859508837e-14,15546.2948682,-9042.24228831,-6504.05257991,15546.1937005,-9042.05161842,-6504.14208207,15866.5965484,-9291.66905469,-6574.92749373,13860.5460419,-8894.5542642,-4965.99177766,13860.5907959,-8894.50369056,-4966.08710535,13895.959443,-9054.69589378,-4841.26354926,-659.666953857,177.913187781,481.753766076,-609.038546588,164.239116645,444.799429942,15546.2948682,-9042.24228831,-6504.05257991,15546.1937005,-9042.05161842,-6504.14208207,15866.5965484,-9291.66905469,-6574.92749373,278398.666204,-29429.527482,-248969.138721,35.0927817538,-12.0579910207,-23.0347907332,1.05,0.5,-0.000333294345511,0.95,0.75,-8.64669904097e-07,-2109.75253072,10366.3959243,1.02926691546e-11,2082.05781556,107.653244738,-165.339699258,-894.151477174,8320.10780978,-6169.64705409,-2150.46075569,0.60597920883,59.999816637,-0.0449330115178,-0.000565699933171,-0.00291279544165,-0.000333294345511,-2108.61498255,10366.4004375,2.48892151295e-12,2081.67309444,107.892444736,-165.339770873,-894.151867018,8320.17757199,-6168.87983172,-2151.29774027,0.605970620813,59.9998166475,-0.0449323807441,0.000100195355348,-0.00225079271615,-8.64669904097e-07,-1650.38167944,7363.49541688,5.05538368852e-13,7841.37428673,139.658526998,-148.484228857,-865.620742756,5996.50410114,-1771.92984786,-4224.57425328,0.746919351564,89.9995228007,-0.0489546400528,0.00150174933081,-0.00100075529985
0.0014,263635.492092,1.37181852849e-06,-13453.5661786,-3.47405703643e-07,-250181.925914,-1.02441282485e-06,48.503974592,-15.6504565695,-32.8535180224,1.2116570193e-14,-6.69869089626e-15,-5.4178792626e-15,15158.6986397,-8170.24029764,-6988.4583421,15158.6227854,-8169.95413011,-6988.66865527,15389.0277159,-8263.84558983,-7125.18212608,13540.1647385,-8091.97681698,-5448.18792148,13540.2698994,-8091.93890051,-5448.33099891,13608.4976278,-8207.12975959,-5401.36786821,-762.033351859,182.154332419,579.879019441,-703.486190449,168.128465463,535.357724987,15158.6986397,-8170.24029764,-6988.4583421,15158.6227854,-8169.95413011,-6988.66865527,15389.0277159,-8263.84558983,-7125.18212608,263635.492092,-13453.5661786,-250181.925914,48.5039732202,-15.6504562221,-32.853516998,1.05,0.5,-0.000334519462012,0.95,0.75,-1.8524879941e-06,-2775.32835826,11614.3586354,2.11288966781e-12,2119.33296474,140.04319255,-186.174309958,-1000.37986367,9492.46315968,-6674.3769,-2818.08625968,0.679455840582,59.9992030327,-0.0621611353848,-0.000504010339449,-0.00433342971551,-0.000334519462012,-2773.98641995,11614.3595242,4.47872063408e-12,2118.87919563,140.325196429,-186.174325341,-1000.3799385,9492.45931115,-6673.426085,-2819.03322615,0.679444145681,59.9992030528,-0.0621601043386,0.000163092005669,-0.00367187376335,-1.8524879941e-06,-2193.75546279,8298.83835872,5.04269422902e-13,7872.72756402,183.949013668,-167.966995785,-973.305747929,6756.04481196,-1762.92660652,-4993.11820545,0.843802904479,89.9988541304,-0.0677503493732,0.00244901615388,-0.00163172090228
0.0016,213287.788077,1.54894032669e-06,27067.7271362,-3.3968727367e-07,-240355.515213,-1.20925305302e-06,63.9269707167,-19.2783012185,-44.6486694982,5.43160259447e-15,-3.00285983934e-15,-2.42874273983e-15,13104.6510057,-5255.67047478,-7848.98053097,13104.4917027,-5255.44370256,-7849.04800011,14077.796463,-5948.19758436,-8129.5988786,12051.8599185,-5520.85196258,-6531.00795596,12051.8936596,-5520.772326,-6531.1213336,12192.1458503,-6007.4160025,-6184.72984784,-843.294740807,169.941928794,673.352812013,-778.422690655,156.819243467,621.603447188,13104.6510057,-5255.67047478,-7848.98053097,13104.4917027,-5255.44370256,-7849.04800011,14077.796463,-5948.19758436,-8129.5988786,213287.788077,27067.7271362,-240355.515213,63.9269691678,-19.2783008788,-44.648668289,1.05,0.5,-0.000336561991497,0.95,0.75,-3.62511083653e-06,-3772.75355587,13498.1960646,-3.36848476669e-12,2175.08709374,188.695591619,-217.122885788,-1161.49683417,11231.1878749,-7516.32994886,-3714.85792603,0.790572857017,59.9983780332,-0.0818284440171,-0.000421398779363,-0.00624271517568,-0.000336561991497,-3771.21420212,13498.1939346,-2.52100468338e-12,2174.5648808,189.020511806,-217.122853974,-1161.49664716,11231.0862519,-7515.19420694,-3715.89204492,0.790556961086,59.9983780682,-0.0818268642,0.000247268086544,-0.00558165956194,-3.62511083653e-06,-2962.06106058,9620.36541718,5.03003662119e-13,7917.02353484,246.63932046,-195.239645878,-1126.37505284,7840.87862333,-1786.64338564,-6054.23523769,0.980277774008,89.9979544647,-0.089270946275,0.00372241576941,-0.00247967513675
0.0018,247632.162707,1.71857349774e-06,34854.6906763,-3.13120395786e-07,-282486.853383,-1.40545310195e-06,81.1800599197,-22.7246957119,-58.4553642078,2.43489143197e-15,-1.34610408656e-15,-1.08878733856e-15,15623.2458522,-6228.30190634,-9394.94394584,15623.0708402,-6228.05829768,-9395.01254248,15842.4093614,-6363.2615746,-9479.14778683,14133.5533945,-6483.42438971,-7650.12900476,14133.5877015,-6483.33690038,-7650.25080111,14175.6141474,-6592.99281228,-7582.62133509,-937.923473078,154.656402195,783.267070884,-865.689609566,142.672082723,723.017526843,15623.2458522,-6228.30190634,-9394.94394584,15623.0708402,-6228.05829768,-9395.01254248,15842.4093614,-6363.2615746,-9479.14778683,247632.162707,34854.6906763,-282486.853383,81.1800582011,-22.7246953988,-58.4553628023,1.05,0.5,-0.000339818720148,0.95,0.75,-6.57983305907e-06,-4952.39316115,15122.1790778,8.59360226379e-12,2241.11989881,246.13333349,-244.228844931,-1299.74018652,12823.3088462,-8221.43665262,-4601.87219359,0.886924913651,59.9973120064,-0.104228331081,-0.000315204204655,-0.00870859180102,-0.000339818720148,-4950.63278856,15122.1829369,-1.04429553512e-12,2240.52815654,246.499769589,-244.228906688,-1299.74051907,12823.0901518,-8220.09701333,-4602.99313849,0.886905063246,59.9973120637,-0.10422603061,0.000355455989662,-0.00804808552152,-6.57983305907e-06,-3864.99045818,10746.5187079,5.01741078506e-13,7969.16183899,320.16702001,-218.779392274,-1255.71897043,8811.62125407,-1763.95409305,-7047.66716102,1.09837772236,89.9967912152,-0.113754380678,0.00536724158082,-0.00357459414343
